表名称,字段,字段解释,字段类型,备注,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ContactInfoPublic,联系人信息是否公开,bit,0不，1是,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Tel,公司电话,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ContactTelPublic,联系人电话是否公开,bit,0不，1是,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Fax,传真,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),FaxPublic,传真信息是否公开,bit,0不，1是,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Email,邮箱地址,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),EmailPublic,邮箱信息是否公开,bit,0不，1是,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),IsValid,审核状态,int,"1待审核,0审核通过,2修改过,3审核不通过",,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Region,区域编码,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Address,通讯地址,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Postcode,邮编,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Website,企业网站Url,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),Intro,企业简介,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HrManagerName,人事经理姓名,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HrManagerTel,人事经理电话,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HrManagerSex,人事经理性别,int,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),HasLogo,是否有Log,bit,"0无,1有",,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),LogUrl,LogUrl,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),BusLine,公交路线,nvarchar,,,,,,,,,,,,,,,,,,
TB_Company(企业基本信息),ValidateText,审核不通过原因,nvarchar,,,,,,,,,,,,,,,,,,
